NAME,VERSION,RELEASE
acl,2.2.51,12.el7
acpid,2.0.19,8.el7
audit-libs,2.8.1,3.el7
audit-libs-python,2.8.1,3.el7
authconfig,6.2.8,30.el7
basesystem,10.0,7.0.1.el7
bash,4.2.46,28.el7
bind-libs,9.9.4,61.el7
bind-libs-lite,9.9.4,61.el7
bind-license,9.9.4,61.el7
bind-utils,9.9.4,61.el7
binutils,2.25.1,31.base.el7
btrfs-progs,4.9.1,1.0.2.el7
bzip2-libs,1.0.6,13.el7
ca-certificates,2017.2.14,71.el7
checkpolicy,2.5,4.el7
chkconfig,1.7.4,1.el7
chrony,3.1,2.el7
compat-libcap1,1.10,7.el7
compat-libstdc++-33,3.2.3,72.el7
coreutils,8.22,18.0.1.el7
cpio,2.11,24.el7
cpp,4.8.5,28.0.1.el7_5.1
cracklib,2.9.0,11.el7
cracklib-dicts,2.9.0,11.el7
cronie,1.4.11,19.el7
cronie-anacron,1.4.11,19.el7
crontabs,1.11,6.20121102git.el7
cryptsetup-libs,1.7.4,3.el7
curl,7.29.0,46.el7
cyrus-sasl-lib,2.1.26,21.el7
dbus,1.10.24,7.0.1.el7
dbus-glib,0.100,7.el7
dbus-libs,1.10.24,7.0.1.el7
dbus-python,1.1.1,9.el7
device-mapper,1.02.140,8.0.1.el7
device-mapper-libs,1.02.140,8.0.1.el7
dhclient,4.2.5,68.0.1.el7
dhcp-common,4.2.5,68.0.1.el7
dhcp-libs,4.2.5,68.0.1.el7
diffutils,3.3,4.el7
dmidecode,3.0,5.el7
dnsmasq,2.76,5.el7
dracut,033,502.0.1.el7
e2fsprogs,1.42.9,10.0.1.el7
e2fsprogs-libs,1.42.9,10.0.1.el7
ebtables,2.0.10,15.el7
elfutils-default-yama-scope,0.168,8.el7
elfutils-libelf,0.168,8.el7
elfutils-libs,0.168,8.el7
ethtool,4.8,1.el7
expat,2.1.0,10.el7_3
file,5.11,33.el7
file-libs,5.11,33.el7
filesystem,3.2,21.el7
findutils,4.5.11,5.el7
fipscheck,1.4.1,6.el7
fipscheck-lib,1.4.1,6.el7
firewalld-filesystem,0.4.4.4,6.el7
fontconfig,2.10.95,11.el7
fontpackages-filesystem,1.44,8.el7
freetype,2.4.11,15.el7
gawk,4.0.2,4.el7_3.1
gcc,4.8.5,28.0.1.el7_5.1
gcc-c++,4.8.5,28.0.1.el7_5.1
gdbm,1.10,8.el7
GeoIP,1.5.0,11.el7
gettext,0.19.8.1,2.el7
gettext-libs,0.19.8.1,2.el7
glib2,2.54.2,2.el7
glibc,2.17,222.el7
glibc-common,2.17,222.el7
glibc-devel,2.17,222.el7
glibc-headers,2.17,222.el7
gmp,6.0.0,15.el7
gnupg2,2.0.22,4.el7
gobject-introspection,1.50.0,1.el7
gpgme,1.3.2,5.el7
gpg-pubkey,ec551f03,53619141
grep,2.20,3.el7
groff-base,1.22.2,8.el7
grub2,2.02,0.64.0.1.el7
grub2-common,2.02,0.64.0.1.el7
grub2-pc,2.02,0.64.0.1.el7
grub2-pc-modules,2.02,0.64.0.1.el7
grub2-tools,2.02,0.64.0.1.el7
grub2-tools-extra,2.02,0.64.0.1.el7
grub2-tools-minimal,2.02,0.64.0.1.el7
grubby,8.28,23.0.1.el7
gssproxy,0.7.0,17.el7
gzip,1.5,9.el7
hardlink,1.0,19.el7
hostname,3.13,3.el7
hwdata,0.252,8.6.el7
hyperv-daemons-license,0,0.32.20161211git.el7
hypervkvpd,0,0.32.20161211git.el7
info,5.1,4.el7
initscripts,9.49.39,1.0.1.el7
iproute,3.10.0,87.0.1.el7
ipset,6.29,1.el7
ipset-libs,6.29,1.el7
iptables,1.4.21,18.el7
iptables-services,1.4.21,18.el7
iputils,20160308,10.el7
irqbalance,1.0.7,10.0.1.el7
kbd,1.15.5,13.el7
kbd-legacy,1.15.5,13.el7
