Name,Version,Section,Homepage,Source
accountsservice,0.6.45-1ubuntu1,admin,https://www.freedesktop.org/wiki/Software/AccountsService/,
acl,2.2.52-3build1,utils,http://savannah.nongnu.org/projects/acl/,
acpid,1:2.0.28-1ubuntu1,admin,http://sourceforge.net/projects/acpid2/,
adduser,3.116ubuntu1,admin,http://alioth.debian.org/projects/adduser/,
apache2,2.4.29-1ubuntu4.4,httpd,http://httpd.apache.org/,
apache2-bin,2.4.29-1ubuntu4.4,httpd,http://httpd.apache.org/,apache2
apache2-data,2.4.29-1ubuntu4.4,httpd,http://httpd.apache.org/,apache2
apache2-utils,2.4.29-1ubuntu4.4,httpd,http://httpd.apache.org/,apache2
apparmor,2.12-4ubuntu5,admin,http://apparmor.net/,
apport,2.20.9-0ubuntu7.4,utils,https://wiki.ubuntu.com/Apport,
apport-symptoms,0.20,utils,https://wiki.ubuntu.com/Apport,
apt,1.6.3ubuntu0.1,admin,,
apt-utils,1.6.3ubuntu0.1,admin,,apt
at,3.1.20-3.1ubuntu2,admin,http://blog.calhariz.com,
base-files,10.1ubuntu2.3,admin,,
base-passwd,3.5.44,admin,,
bash,4.4.18-2ubuntu1,shells,http://tiswww.case.edu/php/chet/bash/bashtop.html,
bash-completion,1:2.8-1ubuntu1,shells,https://github.com/scop/bash-completion,
bc,1.07.1-2,math,http://ftp.gnu.org/gnu/bc/,
bcache-tools,1.0.8-2build1,utils,http://bcache.evilpiepirate.org/,
bind9-host,1:9.11.3+dfsg-1ubuntu1.2,net,https://www.isc.org/downloads/bind/,bind9
bsdmainutils,11.1.2ubuntu1,utils,,
bsdutils,1:2.31.1-0.4ubuntu3.1,utils,,util-linux (2.31.1-0.4ubuntu3.1)
btrfs-progs,4.15.1-1build1,admin,http://btrfs.wiki.kernel.org/,
btrfs-tools,4.15.1-1build1,oldlibs,http://btrfs.wiki.kernel.org/,btrfs-progs
busybox-initramfs,1:1.27.2-2ubuntu3,shells,http://www.busybox.net,busybox
busybox-static,1:1.27.2-2ubuntu3,shells,http://www.busybox.net,busybox
byobu,5.125-0ubuntu1,misc,http://byobu.org,
bzip2,1.0.6-8.1,utils,http://www.bzip.org/,
ca-certificates,20180409,misc,,
cifs-utils,2:6.8-1,otherosfs,http://www.samba.org/~jlayton/cifs-utils/,
cloud-guest-utils,0.30-0ubuntu5,admin,,cloud-utils
cloud-init,18.3-9-g2e62cb8a-0ubuntu1~18.04.2,admin,,
cloud-initramfs-copymods,0.40ubuntu1,admin,http://launchpad.net/cloud-initramfs-tools,cloud-initramfs-tools
cloud-initramfs-dyn-netconf,0.40ubuntu1,admin,http://launchpad.net/cloud-initramfs-tools,cloud-initramfs-tools
command-not-found,18.04.5,admin,,
command-not-found-data,18.04.5,admin,,command-not-found
console-setup,1.178ubuntu2.7,utils,,
console-setup-linux,1.178ubuntu2.7,utils,,console-setup
coreutils,8.28-1ubuntu1,utils,http://gnu.org/software/coreutils,
cpio,2.12+dfsg-6,utils,http://www.gnu.org/software/cpio/,
cron,3.0pl1-128.1ubuntu1,admin,http://ftp.isc.org/isc/cron/,
cryptsetup,2:2.0.2-1ubuntu1.1,admin,https://gitlab.com/cryptsetup/cryptsetup,
cryptsetup-bin,2:2.0.2-1ubuntu1.1,admin,https://gitlab.com/cryptsetup/cryptsetup,cryptsetup
curl,7.58.0-2ubuntu3.3,web,http://curl.haxx.se,
dash,0.5.8-2.10,shells,http://gondor.apana.org.au/~herbert/dash/,
dbus,1.12.2-1ubuntu1,devel,http://dbus.freedesktop.org/,
debconf,1.5.66,admin,,
debconf-i18n,1.5.66,admin,,debconf
debianutils,4.8.4,utils,,
diffutils,1:3.6-1,utils,http://www.gnu.org/software/diffutils/,
dirmngr,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2
distro-info-data,0.37ubuntu0.1,devel,,
dmeventd,2:1.02.145-4.1ubuntu3,admin,http://sources.redhat.com/lvm2/,lvm2 (2.02.176-4.1ubuntu3)
dmidecode,3.1-1,utils,http://nongnu.org/dmidecode/,
dmsetup,2:1.02.145-4.1ubuntu3,admin,http://sources.redhat.com/lvm2/,lvm2 (2.02.176-4.1ubuntu3)
dns-root-data,2018013001,misc,https://data.iana.org/root-anchors/,
dnsmasq-base,2.79-1,net,http://www.thekelleys.org.uk/dnsmasq/doc.html,dnsmasq
dnsutils,1:9.11.3+dfsg-1ubuntu1.2,net,https://www.isc.org/downloads/bind/,bind9
dosfstools,4.1-1,otherosfs,https://github.com/dosfstools/dosfstools,
dpkg,1.19.0.5ubuntu2,admin,https://wiki.debian.org/Teams/Dpkg,
e2fsprogs,1.44.1-1,admin,http://e2fsprogs.sourceforge.net,
eatmydata,105-6,utils,https://launchpad.net/libeatmydata,libeatmydata
ebtables,2.0.10.4-3.5ubuntu2.18.04.3,net,http://ebtables.sourceforge.net,
ed,1.10-2.1,editors,http://www.gnu.org/software/ed/,
efibootmgr,15-1,admin,,
eject,2.1.5+deb1+cvs20081104-13.2,utils,http://www.pobox.com/~tranter/eject.html,
ethtool,1:4.15-0ubuntu1,net,https://www.kernel.org/pub/software/network/ethtool/,
fdisk,2.31.1-0.4ubuntu3.1,utils,,util-linux
file,1:5.32-2ubuntu0.1,utils,http://www.darwinsys.com/file/,
findutils,4.6.0+git+20170828-2,utils,https://savannah.gnu.org/projects/findutils/,
fonts-ubuntu-console,0.83-2,non-free/fonts,https://design.ubuntu.com/font/,fonts-ubuntu
