Name,Version,Section,Homepage,Source,Architecture
accountsservice,0.6.45-1ubuntu1,admin,https://www.freedesktop.org/wiki/Software/AccountsService/,,amd64
acl,2.2.52-3build1,utils,http://savannah.nongnu.org/projects/acl/,,amd64
acpid,1:2.0.28-1ubuntu1,admin,http://sourceforge.net/projects/acpid2/,,amd64
adduser,3.116ubuntu1,admin,http://alioth.debian.org/projects/adduser/,,all
apache2,2.4.29-1ubuntu4.4,httpd,http://httpd.apache.org/,,amd64
apache2-bin,2.4.29-1ubuntu4.4,httpd,http://httpd.apache.org/,apache2,amd64
apache2-data,2.4.29-1ubuntu4.4,httpd,http://httpd.apache.org/,apache2,all
apache2-utils,2.4.29-1ubuntu4.4,httpd,http://httpd.apache.org/,apache2,amd64
apparmor,2.12-4ubuntu5.1,admin,http://apparmor.net/,,amd64
apport,2.20.9-0ubuntu7.4,utils,https://wiki.ubuntu.com/Apport,,all
apport-symptoms,0.20,utils,https://wiki.ubuntu.com/Apport,,all
apt,1.6.3ubuntu0.1,admin,,,amd64
apt-utils,1.6.3ubuntu0.1,admin,,apt,amd64
at,3.1.20-3.1ubuntu2,admin,http://blog.calhariz.com,,amd64
base-files,10.1ubuntu2.3,admin,,,amd64
base-passwd,3.5.44,admin,,,amd64
bash,4.4.18-2ubuntu1,shells,http://tiswww.case.edu/php/chet/bash/bashtop.html,,amd64
bash-completion,1:2.8-1ubuntu1,shells,https://github.com/scop/bash-completion,,all
bc,1.07.1-2,math,http://ftp.gnu.org/gnu/bc/,,amd64
bcache-tools,1.0.8-2build1,utils,http://bcache.evilpiepirate.org/,,amd64
bind9-host,1:9.11.3+dfsg-1ubuntu1.2,net,https://www.isc.org/downloads/bind/,bind9,amd64
bsdmainutils,11.1.2ubuntu1,utils,,,amd64
bsdutils,1:2.31.1-0.4ubuntu3.1,utils,,util-linux (2.31.1-0.4ubuntu3.1),amd64
btrfs-progs,4.15.1-1build1,admin,http://btrfs.wiki.kernel.org/,,amd64
btrfs-tools,4.15.1-1build1,oldlibs,http://btrfs.wiki.kernel.org/,btrfs-progs,amd64
busybox-initramfs,1:1.27.2-2ubuntu3,shells,http://www.busybox.net,busybox,amd64
busybox-static,1:1.27.2-2ubuntu3,shells,http://www.busybox.net,busybox,amd64
byobu,5.125-0ubuntu1,misc,http://byobu.org,,all
bzip2,1.0.6-8.1,utils,http://www.bzip.org/,,amd64
ca-certificates,20180409,misc,,,all
cifs-utils,2:6.8-1,otherosfs,http://www.samba.org/~jlayton/cifs-utils/,,amd64
