Name,Version,Section,Homepage,Source,Architecture
accountsservice,0.6.35-0ubuntu7.3,admin,http://cgit.freedesktop.org/accountsservice/,,amd64
acpid,1:2.0.21-1ubuntu2,admin,http://www.tedfelix.com/linux/acpid-netlink.html,,amd64
adduser,3.113+nmu3ubuntu3,admin,http://alioth.debian.org/projects/adduser/,,all
amd64-microcode,3.20180524.1~ubuntu0.14.04.2+really20130710.1ubuntu1,non-free/admin,,,amd64
apparmor,2.10.95-0ubuntu2.6~14.04.3,admin,http://apparmor.net/,,amd64
apport,2.14.1-0ubuntu3.29,utils,https://wiki.ubuntu.com/Apport,,all
apport-symptoms,0.20,utils,https://wiki.ubuntu.com/Apport,,all
apt,1.0.1ubuntu2.18,admin,,,amd64
aptitude,0.6.8.2-1ubuntu4,admin,http://aptitude.alioth.debian.org/,,amd64
aptitude-common,0.6.8.2-1ubuntu4,admin,http://aptitude.alioth.debian.org/,aptitude,all
apt-transport-https,1.0.1ubuntu2.18,admin,,apt,amd64
apt-utils,1.0.1ubuntu2.18,admin,,apt,amd64
apt-xapian-index,0.45ubuntu4,admin,http://www.enricozini.org/sw/apt-xapian-index/,,all
at,3.1.14-1ubuntu1,admin,,,amd64
base-files,7.2ubuntu5.5,admin,,,amd64
base-passwd,3.5.33,admin,,,amd64
bash,4.3-7ubuntu1.7,shells,http://tiswww.case.edu/php/chet/bash/bashtop.html,,amd64
bash-completion,1:2.1-4ubuntu0.2,shells,http://bash-completion.alioth.debian.org,,all
bc,1.06.95-8ubuntu1,math,http://ftp.gnu.org/gnu/bc/,,amd64
bind9-host,1:9.9.5.dfsg-3ubuntu0.18,net,,bind9,amd64
bsdmainutils,9.0.5ubuntu1,utils,,,amd64
bsdutils,1:2.20.1-5.1ubuntu20.9,utils,http://userweb.kernel.org/~kzak/util-linux/,util-linux (2.20.1-5.1ubuntu20.9),amd64
busybox-initramfs,1:1.21.0-1ubuntu1,shells,http://www.busybox.net,busybox,amd64
busybox-static,1:1.21.0-1ubuntu1,shells,http://www.busybox.net,busybox,amd64
byobu,5.77-0ubuntu1.2,misc,http://byobu.co,,all
bzip2,1.0.6-5,utils,http://www.bzip.org/,,amd64
ca-certificates,20170717~14.04.1,misc,,,all
cifs-utils,2:6.0-1ubuntu2,otherosfs,http://www.samba.org/~jlayton/cifs-utils/,,amd64
cloud-guest-utils,0.27-0ubuntu9.2,admin,,cloud-utils,all
cloud-init,0.7.5-0ubuntu1.22,admin,,,all
command-not-found,0.3ubuntu12,admin,,,all
command-not-found-data,0.3ubuntu12,admin,,command-not-found,amd64
console-setup,1.70ubuntu8,utils,,,all
coreutils,8.21-1ubuntu5.4,utils,http://gnu.org/software/coreutils,,amd64
cpio,2.11+dfsg-1ubuntu1.2,utils,http://www.gnu.org/software/cpio/,,amd64
crda,1.1.2-1ubuntu2,net,http://wireless.kernel.org/en/developers/Regulatory/#CRDA,,amd64
cron,3.0pl1-124ubuntu2,admin,http://ftp.isc.org/isc/cron/,,amd64
cryptsetup,2:1.6.1-1ubuntu1,admin,http://code.google.com/p/cryptsetup/,,amd64
cryptsetup-bin,2:1.6.1-1ubuntu1,admin,http://code.google.com/p/cryptsetup/,cryptsetup,amd64
curl,7.35.0-1ubuntu2.17,web,http://curl.haxx.se,,amd64
dash,0.5.7-4ubuntu1,shells,http://gondor.apana.org.au/~herbert/dash/,,amd64
dbus,1.6.18-0ubuntu4.5,admin,http://dbus.freedesktop.org/,,amd64
debconf,1.5.51ubuntu2,admin,,,all
debconf-i18n,1.5.51ubuntu2,localization,,debconf,all
debianutils,4.4,utils,,,amd64
dh-python,1.20140128-1ubuntu8.2,python,,,all
diffutils,1:3.3-1,utils,http://www.gnu.org/software/diffutils/,,amd64
dmidecode,2.12-2,utils,http://dmidecode.nongnu.org/,,amd64
dmsetup,2:1.02.77-6ubuntu2,admin,http://sources.redhat.com/lvm2/,lvm2 (2.02.98-6ubuntu2),amd64
dnsutils,1:9.9.5.dfsg-3ubuntu0.18,net,,bind9,amd64
dosfstools,3.0.26-1ubuntu0.1,otherosfs,http://daniel-baumann.ch/software/dosfstools/,,amd64
dpkg,1.17.5ubuntu5.8,admin,https://wiki.debian.org/Teams/Dpkg,,amd64
