NAME,VERSION,RELEASE,GROUP,VENDOR,SUMMARY
GeoIP,1.5.0,11.el7,Oracle America,Library for country/city/organization to IP address or hostname mapping
NetworkManager,1.10.2,13.el7,Oracle America,Network connection manager and user applications
NetworkManager-libnm,1.10.2,13.el7,Oracle America,Libraries for adding NetworkManager support to applications (new API).
WALinuxAgent,2.2.14,1.0.1.el7,Microsoft Corporation <walinuxagent@microsoft.com>,The Microsoft Azure Linux Agent
acl,2.2.51,12.el7,Oracle America,Access control list utilities
acpid,2.0.19,8.el7,Oracle America,ACPI Event Daemon
audit-libs,2.8.1,3.el7,Oracle America,Dynamic library for libaudit
audit-libs-python,2.8.1,3.el7,Oracle America,Python bindings for libaudit
authconfig,6.2.8,30.el7,Oracle America,Command line tool for setting up authentication from network services
basesystem,10.0,7.0.1.el7,Oracle America,The skeleton package which defines a simple Oracle Linux system
bash,4.2.46,28.el7,Oracle America,The GNU Bourne Again shell
bind-libs,9.9.4,61.el7,Oracle America,Libraries used by the BIND DNS packages
bind-libs-lite,9.9.4,61.el7,Oracle America,Libraries for working with the DNS protocol
bind-license,9.9.4,61.el7,Oracle America,License of the BIND DNS suite
bind-utils,9.9.4,61.el7,Oracle America,Utilities for querying DNS name servers
binutils,2.25.1,31.base.el7,Oracle America,A GNU collection of binary utilities
btrfs-progs,4.9.1,1.0.2.el7,Oracle America,Userspace programs for btrfs
bzip2-libs,1.0.6,13.el7,Oracle America,Libraries for applications using bzip2
ca-certificates,2017.2.14,71.el7,Oracle America,The Mozilla CA root certificate bundle
checkpolicy,2.5,4.el7,Oracle America,SELinux policy compiler
chkconfig,1.7.4,1.el7,Oracle America,A system tool for maintaining the /etc/rc*.d hierarchy
chrony,3.1,2.el7,Oracle America,An NTP client/server
compat-libcap1,1.10,7.el7,Oracle America,Library for getting and setting POSIX.1e capabilities
compat-libstdc++-33,3.2.3,72.el7,Oracle America,Compatibility standard C++ libraries
coreutils,8.22,18.0.1.el7,Oracle America,A set of basic GNU tools commonly used in shell scripts
cpio,2.11,24.el7,Oracle America,A GNU archiving program
cpp,4.8.5,28.0.1.el7_5.1,Oracle America,The C Preprocessor
cracklib,2.9.0,11.el7,Oracle America,A password-checking library
cracklib-dicts,2.9.0,11.el7,Oracle America,The standard CrackLib dictionaries
cronie,1.4.11,19.el7,Oracle America,Cron daemon for executing programs at set times
cronie-anacron,1.4.11,19.el7,Oracle America,Utility for running regular jobs
crontabs,1.11,6.20121102git.el7,Oracle America,Root crontab files used to schedule the execution of programs
cryptsetup-libs,1.7.4,3.el7,Oracle America,Cryptsetup shared library
curl,7.29.0,46.el7,Oracle America,A utility for getting files from remote servers (FTP, HTTP, and others)
cyrus-sasl-lib,2.1.26,21.el7,Oracle America,Shared libraries needed by applications which use Cyrus SASL
dbus,1.10.24,7.0.1.el7,Oracle America,D-BUS message bus
dbus-glib,0.100,7.el7,Oracle America,GLib bindings for D-Bus
dbus-libs,1.10.24,7.0.1.el7,Oracle America,Libraries for accessing D-BUS
dbus-python,1.1.1,9.el7,Oracle America,D-Bus Python Bindings
device-mapper,1.02.140,8.0.1.el7,Oracle America,Device mapper utility
device-mapper-libs,1.02.140,8.0.1.el7,Oracle America,Device-mapper shared library
dhclient,4.2.5,68.0.1.el7,Oracle America,Provides the ISC DHCP client daemon and dhclient-script
dhcp-common,4.2.5,68.0.1.el7,Oracle America,Common files used by ISC dhcp client and server
dhcp-libs,4.2.5,68.0.1.el7,Oracle America,Shared libraries used by ISC dhcp client and server
diffutils,3.3,4.el7,Oracle America,A GNU collection of diff utilities
dmidecode,3.0,5.el7,Oracle America,Tool to analyse BIOS DMI data
dnsmasq,2.76,5.el7,Oracle America,A lightweight DHCP/caching DNS server
dracut,033,502.0.1.el7,Oracle America,Initramfs generator using udev
e2fsprogs,1.42.9,10.0.1.el7,Oracle America,Utilities for managing ext2, ext3, and ext4 filesystems
